password,strength,length,uppercase_count,lowercase_count,digit_count,special_count,has_uppercase,has_lowercase,has_digits,has_special,entropy,strength_label
SHIELD20shield,2,14,6,6,2,0,1,1,1,0,3.807354922,Medium
abc31,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
zsvC2lwRF,2,9,3,5,1,0,1,1,1,0,3.169925001,Medium
383838,0,6,0,0,6,0,0,0,1,0,1,Very Weak
IaurVL9!SDzv8OZ,4,15,7,5,2,1,1,1,1,1,3.906890596,Very Strong
Secure9%,2,8,1,5,1,1,1,1,1,1,2.75,Medium
PASS120pass,2,11,4,4,3,0,1,1,1,0,3.095795255,Medium
Safe9#,2,6,1,3,1,1,1,1,1,1,2.584962501,Medium
uPnSJta8r#F4z6,4,14,4,6,3,1,1,1,1,1,3.807354922,Very Strong
0bw7Nd*tZJvEXSr,4,15,6,6,2,1,1,1,1,1,3.906890596,Very Strong
1234,0,4,0,0,4,0,0,0,1,0,2,Very Weak
s&LpO@eolGDB&29NrW,4,18,7,6,2,3,1,1,1,1,4.05881389,Very Strong
u2ZWdA+Qt5x,2,10,4,4,2,0,1,1,1,0,3.321928095,Medium
xx8wJrGo1,2,9,2,5,2,0,1,1,1,0,2.947702779,Medium
Idy%zyk@1bK#DOr,4,15,4,7,1,3,1,1,1,1,3.773557262,Very Strong
HqvQM$Fd$pS6T#h,4,15,6,5,1,3,1,1,1,1,3.773557262,Very Strong
bxCGg9jlZ0@Tphd,4,15,4,8,2,1,1,1,1,1,3.906890596,Very Strong
abc20,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
YTTD$fCH&$YAbZp,4,15,9,3,0,3,1,1,0,1,3.506890596,Very Strong
4%fmYD6mZdy*DM@^,4,16,5,5,2,4,1,1,1,1,3.75,Very Strong
292929,0,6,0,0,6,0,0,0,1,0,1,Very Weak
Pass6%,2,6,1,3,1,1,1,1,1,1,2.251629167,Medium
5NHVDQ!l@LU$zEi&zP,4,18,9,4,1,4,1,1,1,1,4.05881389,Very Strong
PASS110pass,2,11,4,4,3,0,1,1,1,0,2.913977073,Medium
GUARD160guard,2,13,5,5,3,0,1,1,1,0,3.700439718,Medium
12345678,0,8,0,0,8,0,0,0,1,0,3,Very Weak
x4Hvs$VdtdhsgW4,4,15,3,9,2,1,1,1,1,1,3.506890596,Very Strong
PASS160pass,2,11,4,4,3,0,1,1,1,0,3.095795255,Medium
123123,0,6,0,0,6,0,0,0,1,0,1.584962501,Very Weak
1paof&MdD3b&F4$S,4,16,4,6,3,3,1,1,1,1,3.875,Very Strong
282828,0,6,0,0,6,0,0,0,1,0,1,Very Weak
yMa2kc7DX,2,9,3,4,2,0,1,1,1,0,3.169925001,Medium
abc32,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
LikimfwwLIvWmN9h,4,16,5,10,1,0,1,1,1,0,3.5,Very Strong
ZC6B2KKaQa^7%u,4,14,6,3,3,2,1,1,1,1,3.521640636,Very Strong
GUARD120guard,2,13,5,5,3,0,1,1,1,0,3.700439718,Medium
SECURE90secure,2,14,6,6,2,0,1,1,1,0,3.521640636,Medium
S3@$7tYlBRYe,3,12,5,3,2,2,1,1,1,1,3.418295834,Strong
XtdI9oaNXQ,2,10,5,4,1,0,1,1,1,0,3.121928095,Medium
J4pdtCTQ#R^SHb1m,4,16,7,5,2,2,1,1,1,1,4,Very Strong
PASS30pass,2,10,4,4,2,0,1,1,1,0,2.921928095,Medium
eGm9PaOj,2,8,3,4,1,0,1,1,1,0,3,Medium
313131,0,6,0,0,6,0,0,0,1,0,1,Very Weak
Secure4$,2,8,1,5,1,1,1,1,1,1,2.75,Medium
Ae#!ZKlim8Nejjo92z,4,18,4,9,3,2,1,1,1,1,3.947702779,Very Strong
Safe12%,2,7,1,3,2,1,1,1,1,1,2.807354922,Medium
abc34,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
123451,1,6,0,0,6,0,0,0,1,0,2.251629167,Weak
05yRTsEyLf0z!1jy,4,16,4,7,4,1,1,1,1,1,3.577819531,Very Strong
ZiBC^X5pV*B5P&8%,4,16,7,2,3,4,1,1,1,1,3.75,Very Strong
abc7,0,4,0,3,1,0,0,1,1,0,2,Very Weak
M1vICQDv@032mFQ!v^,4,18,7,4,4,3,1,1,1,1,3.794653474,Very Strong
GUARD60guard,2,12,5,5,2,0,1,1,1,0,3.584962501,Medium
SHIELD60shield,2,14,6,6,2,0,1,1,1,0,3.807354922,Medium
0kJe@XPd2vnU,3,12,4,5,2,1,1,1,1,1,3.584962501,Strong
s7J0Wo7ofs!,3,11,2,5,3,1,1,1,1,1,2.913977073,Strong
dragon,0,6,0,6,0,0,0,1,0,0,2.584962501,Very Weak
af1h5y7LHj5kdV4dRP,4,18,5,8,5,0,1,1,1,0,3.947702779,Very Strong
GUARD10guard,2,12,5,5,2,0,1,1,1,0,3.584962501,Medium
0ZGMWW!FHO1Aj5Bo%,4,17,10,2,3,2,1,1,1,1,3.969815782,Very Strong
Shield15!,2,9,1,5,2,1,1,1,1,1,3.169925001,Medium
TiTJ61s1,2,8,3,2,3,0,1,1,1,0,2.5,Medium
Secure17$,2,9,1,5,2,1,1,1,1,1,2.947702779,Medium
YwWU*sT35xZGBWwP6,4,17,9,4,3,1,1,1,1,1,3.852168724,Very Strong
Safe7@,2,6,1,3,1,1,1,1,1,1,2.584962501,Medium
353535,0,6,0,0,6,0,0,0,1,0,1,Very Weak
abc29,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
Pass17$,2,7,1,3,2,1,1,1,1,1,2.521640636,Medium
Safe8@,2,6,1,3,1,1,1,1,1,1,2.584962501,Medium
323232,0,6,0,0,6,0,0,0,1,0,1,Very Weak
03nFslJg,2,8,2,4,2,0,1,1,1,0,3,Medium
dragon0,1,7,0,6,1,0,0,1,1,0,2.807354922,Weak
N9gO9qvfu,2,9,2,5,2,0,1,1,1,0,2.947702779,Medium
343434,0,6,0,0,6,0,0,0,1,0,1,Very Weak
WsCmgt%hs$TDUOI,4,15,7,6,0,2,1,1,0,1,3.773557262,Very Strong
abc30,0,5,0,3,2,0,0,1,1,0,2.321928095,Very Weak
SECURE180secure,2,15,6,6,3,0,1,1,1,0,3.640223929,Medium
SECURE130secure,2,15,6,6,3,0,1,1,1,0,3.640223929,Medium
272727,0,6,0,0,6,0,0,0,1,0,1,Very Weak
#Y#VGxwRLjfUuN,4,14,7,5,0,2,1,1,0,1,3.664497779,Very Strong
